,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,6.681271934509278,0.2548482362280921,0.5329616069793701,0.13634149189668496,0.01,1000,"{'learning_rate': 0.01, 'n_estimators': 1000}",0.8972647123407679,0.9007909922773445,0.9119534026576431,0.8752240566607281,0.8831023178101216,0.893667096349321,0.013037192880020962,1
0,2.522468423843384,0.392938687965731,0.1484006881713867,0.006915518170256931,0.01,500,"{'learning_rate': 0.01, 'n_estimators': 500}",0.8939198757923664,0.9013700810528633,0.9067725806707201,0.8748618513941024,0.8809492685228385,0.8915747314865781,0.012038637954053537,2
2,25.674171113967894,2.3003194414642603,3.328350305557251,0.9809449450483682,0.01,5000,"{'learning_rate': 0.01, 'n_estimators': 5000}",0.8860772164292231,0.8925632118631008,0.9130793898142907,0.8701461540610924,0.8772042330085906,0.8878140410352596,0.014755550065551312,3
3,3.084074783325195,0.35160812673482045,0.1790165901184082,0.034972251510551916,0.1,500,"{'learning_rate': 0.1, 'n_estimators': 500}",0.8866369593392804,0.8919577182086498,0.9102496664313902,0.8670546972888148,0.8754004342513426,0.8862598951038955,0.014797864758408033,4
4,4.034634208679199,0.22193443202159124,0.2965977668762207,0.02971782078857349,0.1,1000,"{'learning_rate': 0.1, 'n_estimators': 1000}",0.8786842652227539,0.8818155023125482,0.9066666774626528,0.8606796210631574,0.8672420063616533,0.8790176144845532,0.01579466321883798,5
5,18.80052547454834,2.240091829842479,2.2223995685577393,0.27068113577196407,0.1,5000,"{'learning_rate': 0.1, 'n_estimators': 5000}",0.8656980514686571,0.8690180647751179,0.8999060291946942,0.8515919722831427,0.8537193005899999,0.8679866836623222,0.01730601620519094,6
